date,v1.0.0,v1.1.0,v1.1.1,v1.1.2
2024-03-21,0,,,
2024-05-14,123,0,,
2024-10-31,125,271,,
2024-11-01,125,273,,
2024-11-02,125,273,,
2024-11-03,125,273,,
2024-11-04,125,274,,
2024-11-05,125,276,,
2024-11-06,125,278,,
2024-11-07,125,282,0,
2024-11-08,125,282,4,
2024-11-09,125,282,6,
2024-11-10,125,282,9,
2024-11-11,125,282,10,
2024-11-12,125,282,12,
2024-11-13,125,282,15,
2024-11-14,125,282,15,
2024-11-15,125,282,18,
2024-11-16,125,282,18,
2024-11-17,125,282,21,
2024-11-18,125,282,24,
2024-11-20,125,282,26,
2024-11-21,125,282,26,
2024-11-22,125,282,26,
2024-11-23,125,282,28,
2024-11-24,125,282,30,
2024-11-25,125,282,30,
2024-11-26,125,282,38,
2024-11-27,125,282,41,
2024-11-28,125,282,41,
2024-11-29,125,282,47,
2024-11-30,125,282,48,
2024-12-01,125,282,48,
2024-12-02,125,282,52,
2024-12-03,125,282,53,
2024-12-04,125,282,54,
2024-12-05,125,282,56,
2024-12-06,125,282,61,
2024-12-07,125,283,62,
2024-12-08,125,283,62,
2024-12-09,125,283,64,
2024-12-10,125,283,64,
2024-12-11,125,283,67,
2024-12-12,125,283,67,
2024-12-13,125,283,69,
2024-12-14,125,283,70,
2024-12-15,125,283,70,
2024-12-16,125,283,73,
2024-12-17,125,283,75,
2024-12-18,125,283,78,
2024-12-19,125,283,81,
2024-12-20,125,283,83,
2024-12-21,125,283,88,
2024-12-22,125,283,95,
2024-12-23,125,283,101,
2024-12-24,125,283,104,
2024-12-25,125,283,106,
2024-12-26,125,283,112,
2024-12-27,125,283,117,
2024-12-28,125,283,118,
2024-12-29,125,283,121,
2024-12-30,125,283,122,
2024-12-31,125,283,123,
2025-01-01,125,283,128,
2025-01-02,125,283,129,
2025-01-03,125,283,131,
2025-01-04,125,283,136,
2025-01-05,125,283,138,
2025-01-06,125,283,141,
2025-01-07,125,283,141,
2025-01-08,125,283,143,
2025-01-09,125,283,147,
2025-01-10,125,283,151,
2025-01-11,125,283,157,
2025-01-12,125,283,158,
2025-01-13,125,283,160,
2025-01-14,125,283,160,
2025-01-15,125,283,163,
2025-01-16,125,283,167,
2025-01-17,125,283,171,
2025-01-18,125,283,173,
2025-01-19,125,283,175,
2025-01-20,125,283,179,
2025-01-21,125,283,183,
2025-01-22,125,283,185,
2025-01-23,125,283,186,
2025-01-24,125,283,189,
2025-01-25,125,283,191,
2025-01-26,125,283,194,
2025-01-27,125,283,194,
2025-01-28,125,283,198,
2025-01-29,125,283,198,
2025-01-30,125,283,200,
2025-01-31,125,283,200,
2025-02-01,125,283,204,
2025-02-02,125,283,204,
2025-02-03,125,283,204,
2025-02-04,125,283,206,
2025-02-05,125,283,208,
2025-02-06,125,283,209,
2025-02-07,125,283,212,
2025-02-08,125,283,214,
2025-02-09,125,283,214,
2025-02-10,125,283,217,
2025-02-11,125,283,218,
2025-02-12,125,283,218,
2025-02-13,125,283,221,
2025-02-14,125,283,222,
2025-02-15,125,283,223,
2025-02-16,125,283,223,
2025-02-17,125,283,223,
2025-02-18,125,283,226,
2025-02-19,125,283,227,
2025-02-20,125,283,227,
2025-02-21,125,283,227,
2025-02-22,125,283,228,
2025-02-23,125,283,229,
2025-02-24,125,283,230,
2025-02-25,125,283,231,
2025-02-26,125,283,232,
2025-02-27,125,283,232,
2025-02-28,125,283,233,
2025-03-01,125,283,236,
2025-03-02,125,283,238,
2025-03-03,125,283,238,
2025-03-04,125,283,240,
2025-03-05,125,283,241,
2025-03-06,125,284,245,
2025-03-07,125,284,247,
2025-03-08,125,284,251,
2025-03-09,125,284,254,
2025-03-10,125,284,255,
2025-03-11,125,284,257,
2025-03-12,125,284,267,
2025-03-13,125,284,286,
2025-03-14,125,284,286,
2025-03-15,125,284,287,
2025-03-16,125,284,287,
2025-03-17,125,284,289,
2025-03-18,125,284,293,
2025-03-19,125,284,295,
2025-03-20,125,284,295,
2025-03-21,125,284,297,
2025-03-22,125,284,297,
2025-03-23,125,284,298,
2025-03-24,125,284,298,
2025-03-25,125,284,299,
2025-03-26,125,284,300,
2025-03-27,125,284,301,
2025-03-28,125,284,302,
2025-03-29,127,284,304,
2025-03-30,127,284,306,
2025-03-31,127,284,307,
2025-04-01,127,284,309,
2025-04-02,127,284,313,
2025-04-03,127,284,314,
2025-04-04,127,284,318,
2025-04-05,127,284,319,
2025-04-06,127,284,320,
2025-04-07,127,284,322,
2025-04-08,127,284,322,
2025-04-09,127,284,323,
2025-04-10,127,284,325,
2025-04-11,127,284,326,
2025-04-12,127,284,328,
2025-04-13,127,284,331,
2025-04-14,127,284,334,
2025-04-15,127,284,336,
2025-04-16,127,284,338,
2025-04-17,127,284,339,
2025-04-18,127,284,340,
2025-04-19,127,284,342,
2025-04-20,127,284,343,
2025-04-21,127,284,346,
2025-04-22,127,284,347,
2025-04-23,127,284,348,
2025-04-24,127,284,351,
2025-04-25,127,284,351,
2025-04-26,127,284,351,
2025-04-27,127,284,353,
2025-04-28,127,284,354,
2025-04-29,127,284,354,
2025-04-30,127,284,354,
2025-05-01,127,284,359,
2025-05-02,127,284,366,
2025-05-03,127,284,367,
2025-05-04,127,284,367,
2025-05-05,127,284,369,
2025-05-06,127,284,372,
2025-05-07,127,284,375,
2025-05-08,127,284,376,
2025-05-09,127,284,379,
2025-05-10,127,284,380,
2025-05-11,127,284,383,
2025-05-12,127,284,384,
2025-05-13,127,284,385,
2025-05-14,127,284,388,
2025-05-15,127,284,388,
2025-05-16,127,284,390,
2025-05-17,127,284,390,
2025-05-18,127,284,392,
2025-05-19,127,284,392,
2025-05-20,127,284,393,
2025-05-21,127,284,395,
2025-05-22,127,284,398,
2025-05-23,127,284,399,
2025-05-24,127,284,400,
2025-05-25,127,284,403,
2025-05-26,127,284,403,
2025-05-27,127,284,405,
2025-05-28,127,284,407,
2025-05-29,127,284,407,
2025-05-30,127,284,408,
2025-05-31,127,284,409,
2025-06-01,127,284,410,
2025-06-02,127,284,414,
2025-06-03,127,284,415,
